aa,a-a,10
aa,aa,34
aai,aa-i,1
ae,a-e,16
ae,ae,23
ai,ai,1156
ai,a-i,130
aia,a-ia,5
aie,ai-e,2
aie,aie,1
aieu,a-ieu,2
aii,ai-i,1
aiia,ai-ia,1
aio,ai-o,2
aio,a-io,1
aioi,ai-oi,1
ao,a-o,26
ao,ao,10
aoe,a-oe,1
aoi,a-o-i,1
aou,aou,4
au,a-u,5
au,au,929
aue,aue,1
aue,au-e,1
aui,aui,1
auu,au-u,1
ea,e-a,790
ea,ea,1948
eae,e-ae,1
eao,e-a-o,1
eau,e-au,4
eau,eau,21
eaui,eau-i,1
ee,ee,1163
ee,e-e,14
eea,ee-a,12
eei,ee-i,9
eeo,ee-o,1
eeu,ee-u,1
ei,e-i,285
ei,ei,464
eia,e-ia,11
eia,ei-a,1
eie,ei-e,1
eio,e-io,1
eio,ei-o,16
eo,eo,94
eo,e-o,646
eoe,e-o-e,1
eoi,e-oi,3
eoi,eoi,3
eoi,e-o-i,2
eou,eou,227
eou,e-ou,168
eu,e-u,70
eu,eu,471
eua,eu-a,1
eui,eui,4
eui,eu-i,2
ia,i-a,2699
ia,ia,570
iai,i-ai,2
iaou,iaou,1
iau,i-au,5
ie,i-e,528
ie,ie,708
iei,ie-i,1
ieu,ieu,9
ieu,i-eu,2
ii,i-i,13
iia,i-i-a,2
iii,ii-i,1
iio,i-i-o,1
io,io,3654
io,i-o,1016
ioe,i-oe,9
ioe,i-o-e,1
ioi,i-oi,23
ioi,i-o-i,1
iou,iou,296
iou,i-ou,280
iu,i-u,479
iu,iu,10
oa,oa,433
oa,o-a,142
oai,o-ai,2
oe,o-e,130
oe,oe,144
oea,oe-a,1
oei,oe-i,7
oeo,oe-o,10
oeu,oeu,1
oeu,oe-u,2
oi,oi,934
oi,o-i,159
oia,oi-a,4
oia,o-ia,1
oie,oi-e,3
oio,o-i-o,2
oio,oi-o,4
oiou,oi-ou,2
oo,oo,1286
oo,o-o,5
ooe,o-oe,1
ooe,oo-e,3
ooi,o-oi,11
ooi,oo-i,3
oou,o-ou,10
ou,ou,3347
ou,o-u,7
oua,oua,4
oua,ou-a,8
oue,ou-e,4
oui,oui,1
oui,ou-i,6
ua,u-a,387
ua,ua,569
uai,uai,26
uaia,ua-ia,2
uaia,uai-a,1
ue,ue,408
ue,u-e,141
uea,uea,22
uea,ue-a,10
uee,uee,22
uei,uei,2
uei,ue-i,1
ueou,ue-ou,4
ueu,ueu,2
ueu,u-eu,1
ui,u-i,154
ui,ui,767
uia,ui-a,20
uia,u-ia,1
uie,uie,2
uie,ui-e,45
uio,u-i-o,1
uio,ui-o,1
uiou,ui-ou,8
uiou,u-i-ou,1
uiu,ui-u,1
uo,u-o,84
uo,uo,49
uoi,uoi,8
uoia,uoi-a,1
uoo,uoo,1
uou,uou,10
uou,u-ou,103
uu,u-u,8
uu,uu,1
